感染率,最佳每组人数,平均人均测试数
1,32,0.06275892424047314
2,23,0.08848028825990366
3,19,0.10811843079730292
4,16,0.12461537852021787
5,15,0.1390976978483388
6,13,0.15217593621120556
7,12,0.16417361804141925
8,12,0.17521997152502108
9,11,0.18557223781577453
10,11,0.1955708366503746
11,10,0.20471168560515324
12,10,0.21372306752288797
13,9,0.2222081068048289
14,9,0.23028083383223605
15,9,0.23828832709167655
16,8,0.24605684673263717
17,8,0.25317736036941585
18,8,0.2602473485483525
19,8,0.2672671188813933
20,8,0.2742369774182146
21,7,0.2809135561897022
22,7,0.28705773133224993
23,7,0.29316432755249966
24,7,0.29923353657911267
25,7,0.3052655493573872
26,7,0.3112605560516605
27,7,0.317218746047707
28,7,0.32314030795513177
29,6,0.3285289599237375
30,6,0.33369466173766676
31,6,0.33883380473906916
32,6,0.343946498279517
33,6,0.34903285137255696
34,6,0.35409297269440637
35,6,0.35912697058465115
36,6,0.36413495304694043
37,6,0.3691170277496825
38,6,0.3740733020267384
39,6,0.3790038828781171
40,6,0.38390887697066667
41,6,0.38878839063876863
42,5,0.3930854522112322
43,5,0.3972881230034431
44,5,0.4014732644362241
45,5,0.4056409314031251
46,5,0.4097911786829762
47,5,0.41392406094000717
48,5,0.41803963272396827
49,5,0.4221379484702492
50,5,0.42621906250000013
51,5,0.4302830290202512
52,5,0.43432990212403216
53,5,0.43835973579049325
54,5,0.4423725838850242
55,5,0.4463685001593752
56,5,0.45034753825177615
57,5,0.4543097516870572
58,5,0.45825519387676816
59,5,0.46218391811929893
60,5,0.4660959776000002
61,5,0.46999142539130084
62,5,0.4738703144528322
63,5,0.4777326976315427
64,5,0.48157862766182424
65,5,0.48540815716562474
66,4,0.4889950092640002
67,4,0.49224890087899986
68,4,0.4954923466240002
69,4,0.49872536887899976
70,4,0.5019479900000001
71,4,0.5051602323189999
72,4,0.5083621181439999
73,4,0.5115536697589999
74,4,0.5147349094239998
75,4,0.5179058593749999
76,4,0.5210665418239998
77,4,0.5242169789589999
78,4,0.527357192944
79,4,0.5304872059189999
80,4,0.5336070399999999
81,4,0.5367167172789998
82,4,0.5398162598239999
83,4,0.5429056896789998
84,4,0.5459850288639999
85,4,0.5490542993749999
86,4,0.552113523184
87,4,0.5551627222389999
88,4,0.5582019184639999
89,4,0.5612311337589999
90,4,0.5642503899999999
91,4,0.5672597090389999
92,4,0.5702591127039999
93,4,0.5732486227989999
94,4,0.5762282611039999
95,4,0.579198049375
96,4,0.582158009344
97,4,0.5851081627189999
98,4,0.5880485311839999
99,4,0.590979136399
100,4,0.5938999999999999
101,4,0.5968111435989999
102,4,0.599712588784
103,4,0.602604357119
104,4,0.6054864701439999
105,4,0.608358949375
106,4,0.611221816304
107,4,0.6140750923989999
108,4,0.6169187991039999
109,4,0.619752957839
110,4,0.6225775899999999
111,4,0.6253927169589999
112,4,0.628198360064
113,4,0.630994540639
114,4,0.6337812799839999
115,4,0.6365585993749999
116,4,0.639326520064
117,4,0.6420850632790001
118,4,0.644834250224
119,4,0.647574102079
120,4,0.65030464
121,4,0.6530258851190001
122,4,0.655737858544
123,4,0.6584405813590001
124,3,0.6611119573333334
125,3,0.6634114583333334
126,3,0.6657057093333334
127,3,0.6679947163333333
128,3,0.6702784853333333
129,3,0.6725570223333334
130,3,0.6748303333333333
131,3,0.6770984243333334
132,3,0.6793613013333334
133,3,0.6816189703333334
134,3,0.6838714373333334
135,3,0.6861187083333333
136,3,0.6883607893333333
137,3,0.6905976863333333
138,3,0.6928294053333334
139,3,0.6950559523333334
140,3,0.6972773333333334
141,3,0.6994935543333334
142,3,0.7017046213333334
143,3,0.7039105403333332
144,3,0.7061113173333334
145,3,0.7083069583333335
146,3,0.7104974693333334
147,3,0.7126828563333333
148,3,0.7148631253333333
149,3,0.7170382823333333
150,3,0.7192083333333334
151,3,0.7213732843333335
152,3,0.7235331413333334
153,3,0.7256879103333335
154,3,0.7278375973333334
155,3,0.7299822083333334
156,3,0.7321217493333334
157,3,0.7342562263333333
158,3,0.7363856453333334
159,3,0.7385100123333334
160,3,0.7406293333333335
